id,eafya_hmis_id,hmis_code,hmis_name,eafya_disease_id,eafya_disease_name,section_id,section_name,data_element_id,category_optioncombo_id,category_optioncombo_name
131,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,F1rms8f9I9a,"5-9Yrs, Male"
132,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
133,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
134,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
135,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
136,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
137,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
138,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
139,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
140,244,CA03,Breast Cancer,1185,Lower-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
141,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,F1rms8f9I9a,"5-9Yrs, Male"
142,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
143,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
144,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
145,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
